uid,participant_id,video_id,start_timestamp,stop_timestamp,start_action,stop_action,inactive,inactive_frame_name,action,noun,bbox_coords,contact_points,org_contact_points
0,P01,20250328T125330Z,0,8.72,1,219,1,P01_1_760_342_1248_1056.jpg,cut flower,strawberry,"760, 342, 1248, 1056","(46, 169), (54, 180), (68, 191), (75, 195), (84, 204), (93, 218), (109, 243), (105, 232), (95, 224), (62, 187)","(852, 681), (869, 702), (897, 724), (911, 732), (928, 750), (946, 779), (978, 828), (970, 806), (950, 790), (884, 717)"
1,P01,20250328T125330Z,9.96,20.08,250,503,551,P01_551_754_318_1216_1070.jpg,cut flower,strawberry,"754, 318, 1216, 1070","(73, 208), (87, 208), (98, 223), (108, 246), (111, 229), (100, 244), (102, 230), (102, 211), (100, 200), (92, 203)","(901, 734), (929, 735), (950, 765), (971, 810), (976, 777), (954, 806), (959, 778), (958, 741), (954, 719), (938, 724)"
2,P01,20250328T125330Z,25.4,34.52,636,864,632,P01_632_616_302_1324_994.jpg,cut flower,strawberry,"616, 302, 1324, 994","(156, 262), (185, 262), (185, 247), (166, 236), (147, 230), (133, 225), (123, 221), (140, 240), (159, 246), (172, 253)","(928, 826), (987, 826), (986, 797), (949, 774), (910, 762), (882, 753), (862, 745), (896, 782), (934, 794), (961, 808)"
3,P01,20250328T125330Z,34.84,47.8,872,1196,631,P01_631_586_356_1324_998.jpg,cut flower,strawberry,"586, 356, 1324, 998","(139, 200), (142, 188), (158, 196), (151, 225), (231, 293), (218, 263), (203, 244), (182, 219), (171, 208), (152, 202)","(864, 756), (870, 732), (903, 748), (888, 806), (1049, 943), (1023, 882), (993, 845), (951, 794), (928, 773), (891, 760)"
4,P01,20250328T125330Z,49.76,61.88,1245,1548,625,P01_625_562_332_1300_992.jpg,cut flower,strawberry,"562, 332, 1300, 992","(174, 204), (187, 210), (218, 275), (213, 258), (209, 240), (198, 221), (195, 207), (186, 192), (184, 174), (180, 192)","(910, 740), (937, 752), (998, 882), (988, 849), (980, 812), (959, 774), (952, 747), (935, 717), (931, 681), (922, 717)"
5,P01,20250328T125330Z,66.52,80.12,1664,2004,1662,P01_1662_590_342_1344_1066.jpg,cut flower,strawberry,"590, 342, 1344, 1066","(173, 247), (186, 266), (278, 358), (265, 333), (255, 315), (242, 337), (224, 303), (201, 291), (207, 279), (198, 275)","(936, 836), (962, 874), (1146, 1059), (1120, 1008), (1100, 972), (1074, 1016), (1039, 949), (992, 925), (1005, 901), (986, 893)"
6,P01,20250328T125330Z,82.52,84.92,2064,2124,2056,P01_2056_568_290_1436_1070.jpg,turn pot,strawberry,"568, 290, 1436, 1070","(150, 310), (149, 337), (146, 361), (143, 379), (148, 353), (294, 311), (289, 329), (282, 345), (276, 361), (285, 337)","(869, 911), (867, 964), (860, 1012), (854, 1049), (865, 996), (1157, 912), (1146, 948), (1133, 981), (1121, 1013), (1139, 964)"
7,P01,20250328T125330Z,85.08,91.96,2128,2300,2110,P01_2110_518_262_1302_1020.jpg,cut flower,strawberry,"518, 262, 1302, 1020","(174, 311), (159, 292), (158, 283), (154, 256), (121, 258), (133, 241), (133, 258), (149, 262), (147, 276), (141, 263)","(866, 885), (837, 847), (835, 829), (826, 775), (760, 779), (785, 744), (785, 778), (816, 786), (812, 815), (800, 788)"
8,P01,20250328T125330Z,92.88,95.76,2323,2395,2323,P01_2323_444_276_1252_1072.jpg,cut stem,strawberry,"444, 276, 1252, 1072","(184, 277), (188, 288), (186, 308), (167, 306), (169, 266), (162, 276), (219, 311), (210, 297), (199, 286), (177, 288)","(813, 830), (821, 853), (816, 893), (778, 889), (782, 808), (768, 828), (882, 899), (864, 870), (842, 849), (799, 852)"
9,P02,20250328T131521Z,0.72,6.48,19,163,3,P02_3_492_98_1594_1020.jpg,cut flower,strawberry,"492, 98, 1594, 1020","(168, 241), (184, 247), (199, 250), (214, 256), (224, 262), (236, 272), (244, 280), (224, 289), (298, 303), (317, 299)","(828, 581), (861, 593), (890, 599), (920, 610), (941, 623), (964, 642), (981, 659), (940, 676), (1088, 705), (1126, 697)"
10,P02,20250328T131521Z,6.6,12.4,166,311,163,P02_163_546_118_1658_1016.jpg,cut leafs,strawberry,"546, 118, 1658, 1016","(171, 277), (200, 306), (319, 290), (307, 305), (205, 295), (189, 308), (179, 321), (166, 249), (184, 269), (312, 235)","(888, 673), (947, 731), (1185, 698), (1161, 729), (956, 708), (924, 734), (905, 761), (879, 616), (915, 656), (1171, 588)"
11,P02,20250328T131521Z,12.6,18.2,316,456,315,P02_315_552_128_1410_1004.jpg,turn pot,strawberry,"552, 128, 1410, 1004","(154, 250), (151, 266), (153, 280), (157, 288), (191, 313), (195, 312), (304, 274), (305, 283), (302, 293), (298, 300)","(860, 629), (854, 660), (859, 689), (867, 705), (934, 755), (943, 752), (1161, 676), (1163, 695), (1157, 715), (1149, 729)"
